Accession,Host,Species,Genus,Length,Collection_Date,Bat_host
MF095123.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25399,15/02/2017,N
KY926512.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25419,2016-11,N
MH118332.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25404,,N
MF431742.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25420,2015,N
LC216914.1,Sus scrofa domesticus,Coronavirus HKU15,Deltacoronavirus,25422,13/02/2014,N
MF431743.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25414,2014,N
MK625640.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25447,2018-10,N
MH118333.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25408,,N
KJ481931.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25406,04/01/2014,N
MK625641.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25446,2018-10,N
MK625638.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25447,2018-10,N
KY293677.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25438,23/05/2016,N
LC260045.1,Sus scrofa domesticus,Coronavirus HKU15,Deltacoronavirus,25359,2016-09,N
MK625639.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25438,2018-10,N
MH118331.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25408,,N
MK330605.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25413,2018-01,N
MK993519.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25380,2019-01,N
KJ601777.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25408,08/01/2014,N
KJ601778.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25404,08/01/2014,N
KJ601779.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25404,11/01/2014,N
KJ601780.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25404,26/01/2014,N
KR265865.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25394,05/06/2014,N
KX022602.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25382,15/10/2015,N
KX022603.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25394,18/12/2015,N
KX022604.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25382,27/11/2015,N
KX022605.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25320,21/12/2015,N
KR265864.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25395,14/03/2014,N
KR265863.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25394,27/03/2014,N
KR265862.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25394,26/03/2014,N
KU981059.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25420,16/02/2015,N
KR265861.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25404,05/02/2014,N
KU984334.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25403,2015-11,N
KR265860.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25396,05/02/2014,N
KR265859.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25401,11/02/2014,N
KR265856.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25399,23/02/2014,N
KR265855.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25394,21/05/2014,N
KR265854.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25394,21/05/2014,N
KR265853.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25394,14/10/2013,N
KR265852.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25394,21/04/2014,N
KR265851.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25394,13/05/2014,N
KJ769231.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25433,01/03/2014,N
KR265850.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25394,02/04/2014,N
KR265848.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25396,14/03/2014,N
KR265847.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25394,06/03/2014,N
KR150443.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25398,24/03/2015,N
KU051649.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25405,30/06/2015,N
KU051641.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25405,10/06/2015,N
MK359104.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25406,2018,N
KR265849.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25393,02/04/2014,N
KM012168.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25411,17/03/2014,N
KM820765.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,2014-04,N
MK005882.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25414,2018-03,N
KX361343.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25406,2013-02,N
KX361344.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25406,2013-03,N
KX361345.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25406,2015-12,N
MH025762.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25438,2016,N
MH025763.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25438,2016,N
MH025764.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25438,2016,N
MT263013.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25396,2017,N
MN025260.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25399,18/01/2017,N
KX834352.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25406,08/12/2015,N
KX834351.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25406,10/10/2015,N
KY354364.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,01/04/2016,N
KY354363.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,01/04/2016,N
KJ462462.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,31/01/2014,N
KJ569769.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,13/02/2014,N
KX998969.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25415,2015-12,N
KJ567050.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,20/02/2014,N
KJ584359.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,21/02/2014,N
KJ584357.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,07/03/2014,N
KX118627.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25405,20/01/2016,N
MW196362.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25447,2019,N
KY065120.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25413,2016,N
MK211169.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25393,24/12/2017,N
MN942260.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25370,2015,N
KP757892.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25420,20/12/2014,N
KJ584358.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,18/02/2014,N
KP757891.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25420,26/12/2014,N
KT266822.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25404,2012,N
KT336560.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25420,24/11/2014,N
KJ620016.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,18/03/2014,N
KJ584355.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,12/02/2014,N
KJ584356.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,20/02/2014,N
MK572803.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25403,2017-06,N
KY363867.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25396,18/03/2016,N
KP757890.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25420,24/05/2004,N
KR265858.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25394,06/05/2014,N
LC260043.1,Sus scrofa domesticus,Coronavirus HKU15,Deltacoronavirus,25362,2014-08,N
JQ065043.2,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25425,2010,N
LC260042.1,Sus scrofa domesticus,Coronavirus HKU15,Deltacoronavirus,25362,2014-03,N
MH708123.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25453,20/03/2018,N
MH708124.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25454,20/03/2018,N
MH708125.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25453,20/03/2018,N
LC260041.1,Sus scrofa domesticus,Coronavirus HKU15,Deltacoronavirus,25362,2014-05,N
KY293678.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25438,23/05/2016,N
MF642322.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25420,2016-08,N
MF642323.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25420,2016-08,N
LC260040.1,Sus scrofa domesticus,Coronavirus HKU15,Deltacoronavirus,25362,2014-05,N
MF642324.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25420,2017-04,N
MF642325.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25420,2017-03,N
LC260039.1,Sus scrofa domesticus,Coronavirus HKU15,Deltacoronavirus,25362,2014-05,N
LC260038.1,Sus scrofa domesticus,Coronavirus HKU15,Deltacoronavirus,25362,2014-05,N
MG242062.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25414,2017,N
MG837131.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,2016-11,N
MG837130.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,2016-11,N
LC260044.1,Sus scrofa domesticus,Coronavirus HKU15,Deltacoronavirus,25362,2014-12,N
MT227371.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25501,2019-10,N
NC_039208.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25425,2010,N
KY513725.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,2014,N
MK330604.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25402,2017-02,N
KT381613.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,07/05/2014,N
KT021234.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25419,20/03/2015,N
KR131621.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25438,2015-03,N
MN781985.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25420,,N
MK355396.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25403,20/02/2016,N
MH715491.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25419,2016,N
JQ065042.2,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25430,2009,N
MF280390.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25402,2016,N
MF041982.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25414,23/12/2016,N
KY513724.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25413,2014,N
MG832584.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25419,2016-07,N
MW345814.1,Pica pica,Deltacoronavirus HNU1-1,Deltacoronavirus,26289,2018-06,N
MW345815.1,Pica pica,Deltacoronavirus HNU1-2,Deltacoronavirus,26289,2018-06,N
MW349841.1,Pica pica,Deltacoronavirus HNU2,Deltacoronavirus,26240,2018-06,N
MW345816.1,Pica pica,Deltacoronavirus HNU3,Deltacoronavirus,26208,2018-06,N
LC364342.1,Falco,Falcon coronavirus UAE-HKU27,Deltacoronavirus,26162,05/12/2013,N
MH817484.1,Felis catus,Feline alphacoronavirus 1,Alphacoronavirus,29137,2015,N
KX512809.1,Mustela putorius furo,Ferret coronavirus,Alphacoronavirus,28151,2015,N
LC215871.1,Mustela putorius furo,Ferret coronavirus,Alphacoronavirus,28542,29/06/2016,N
NC_030292.1,Mustela putorius,Ferret coronavirus,Alphacoronavirus,28434,2010,N
KM347965.1,Mustela putorius,Ferret coronavirus,Alphacoronavirus,28434,2010,N
LC119077.1,Mustela putorius furo,Ferret coronavirus,Alphacoronavirus,28550,22/05/2013,N
KX512810.1,Mustela putorius furo,Ferret coronavirus,Alphacoronavirus,27987,2015,N
NC_039207.1,Erinaceus europaeus,Hedgehog coronavirus 1,Betacoronavirus,30148,2012,N
MN611525.1,Hipposideros larvatus,Hipposideros pomona bat coronavirus CHB25,Alphacoronavirus,28169,2018-03,Y
MN611523.1,Hipposideros pomona,Hipposideros pomona bat coronavirus HKU10-related,Alphacoronavirus,28514,2018-03,Y
LC364343.1,Chlamydotis,Houbara coronavirus UAE-HKU28,Deltacoronavirus,26155,07/04/2013,N
KT368894.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27397,2014-06,N
KT368893.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27386,2014-06,N
KT368895.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27396,2014-10,N
KT368897.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27395,2014-10,N
KY073747.1,Hipposideros,Human coronavirus 229E,Alphacoronavirus,27837,20/06/2009,Y
KY073748.1,Macronycteris vittata,Human coronavirus 229E,Alphacoronavirus,27636,2010-06,Y
MF593473.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27389,2015,N
JQ410000.1,Vicugna pacos,Human coronavirus 229E,Alphacoronavirus,27374,2008,N
KT368898.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27395,2014-11,N
KT368896.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27389,2014-10,N
KT368912.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27395,2015-01,N
KT368903.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27384,2014-12,N
KT368911.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27393,2015-01,N
KT368910.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27387,2015-01,N
KT368909.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27386,2015-01,N
KT368908.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27395,2015-03,N
KT368907.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27395,2015-03,N
KT368913.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27388,2015-04,N
KT368906.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27395,2014-12,N
KT368900.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27390,2014-11,N
KT368901.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27396,2014-11,N
KT253324.1,Camelus dromedarius,Human coronavirus 229E,Alphacoronavirus,27395,2014,N
KT368905.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27397,2014-12,N
NC_028752.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27395,2015-03,N
KT368902.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27396,2014-12,N
KT368899.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27390,2014-11,N
KT368892.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27391,2014-06,N
KT368904.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27395,2014-12,N
KT253328.1,Camelus dromedarius,Human coronavirus 229E,Alphacoronavirus,27270,2014,N
KT368914.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27392,2015-04,N
KT253325.1,Camelus dromedarius,Human coronavirus 229E,Alphacoronavirus,27193,2014,N
KU291449.1,Camelus dromedarius,Human coronavirus 229E,Alphacoronavirus,27164,2015,N
KT253327.1,Camelus dromedarius,Human coronavirus 229E,Alphacoronavirus,27241,2014,N
KT368915.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27392,2015-03,N
KT253326.1,Camelus dromedarius,Human coronavirus 229E,Alphacoronavirus,27193,2014,N
KT368916.1,Camelus,Human coronavirus 229E,Alphacoronavirus,27390,2015-03,N
NC_032730.1,Rattus norvegicus,Lucheng Rn rat coronavirus,Alphacoronavirus,28763,2013,N
MT820625.1,Apodemus chevrieri,Lucheng Rn rat coronavirus,Alphacoronavirus,27563,2015,N
NC_016993.1,Muscicapidae,Magpie-robin coronavirus HKU18,Deltacoronavirus,26689,2007,N
JQ065046.1,Muscicapidae,Magpie-robin coronavirus HKU18,Deltacoronavirus,26689,2007,N
MW248736.1,Neovison vison,Minacovirus mink/NLD/2020/NT_4,Alphacoronavirus,28868,05/05/2020,N
KJ473796.1,Miniopterus fuliginosus,Miniopterus bat coronavirus 1,Alphacoronavirus,28311,2012,Y
KJ473795.1,Miniopterus fuliginosus,Miniopterus bat coronavirus 1,Alphacoronavirus,28310,2011,Y
KJ473798.1,Miniopterus fuliginosus,Miniopterus bat coronavirus HKU8,Alphacoronavirus,28755,2013,Y
KJ473800.1,Miniopterus fuliginosus,Miniopterus bat coronavirus HKU8,Alphacoronavirus,28735,2013,Y
KJ473797.1,Miniopterus fuliginosus,Miniopterus bat coronavirus HKU8,Alphacoronavirus,28758,2012,Y
KJ473799.1,Miniopterus fuliginosus,Miniopterus bat coronavirus HKU8,Alphacoronavirus,28765,2012,Y
MN611518.1,Miniopterus pusillus,Miniopterus pusillus bat coronavirus HKU8-related,Alphacoronavirus,28751,2018-03,Y
MN611524.1,Miniopterus schreibersii,Miniopterus schreibersii bat coronavirus 1-related,Alphacoronavirus,28316,2018-03,Y
MN535736.1,Neovison vison,Mink coronavirus 1,Alphacoronavirus,28910,2015-07,N
MN535737.1,Neovison vison,Mink coronavirus 1,Alphacoronavirus,28914,2015-07,N
HM245925.1,Neovison vison,Mink coronavirus 1,Alphacoronavirus,28941,01/01/1998,N
NC_023760.1,Neovison vison,Mink coronavirus 1,Alphacoronavirus,28941,01/01/1998,N
HM245926.1,Neovison vison,Mink coronavirus strain WD1133,Alphacoronavirus,28915,01/01/1998,N
NC_011550.1,Lonchura striata,Munia coronavirus HKU13,Deltacoronavirus,26552,2007-04,N
FJ376622.1,Lonchura striata,Munia coronavirus HKU13,Deltacoronavirus,26552,2007-04,N
NC_012936.1,Rattus,Murine coronavirus,Betacoronavirus,31250,,N
NC_028811.1,Myotis ricketti,Myotis ricketti alphacoronavirus Sax-2011,Alphacoronavirus,27935,2011,Y
KJ473806.1,Myotis ricketti,Myotis ricketti alphacoronavirus Sax-2011,Alphacoronavirus,27935,2011,Y
NC_032107.1,Triaenops afer,NL63-related bat coronavirus strain BtKYNL63-9b,Alphacoronavirus,28363,21/06/2010,Y
KY073744.1,Triaenops afer,NL63-related bat coronavirus strain BtKYNL63-9b,Alphacoronavirus,28363,21/06/2010,Y
NC_048216.1,Triaenops afer,NL63-related bat coronavirus strain BtKYNL63-9b,Alphacoronavirus,28679,21/06/2010,Y
KY073746.1,Triaenops afer,NL63-related bat coronavirus strain BtKYNL63-9b,Alphacoronavirus,28442,06/08/2008,Y
KY073745.1,Triaenops afer,NL63-related bat coronavirus strain BtKYNL63-9b,Alphacoronavirus,28679,21/06/2010,Y
NC_016994.1,Ardeidae,Night heron coronavirus HKU19,Deltacoronavirus,26077,2007,N
JQ065047.1,Ardeidae,Night heron coronavirus HKU19,Deltacoronavirus,26077,2007,N
NC_028833.1,Nyctalus velutinus,Nyctalus velutinus alphacoronavirus SC-2013,Alphacoronavirus,27783,2013,Y
KJ473809.1,Nyctalus velutinus,Nyctalus velutinus alphacoronavirus SC-2013,Alphacoronavirus,27783,2013,Y
MT072864.1,Pholidota,Pangolin coronavirus,Betacoronavirus,29795,2018,N
MT040336.1,Manis javanica,Pangolin coronavirus,Betacoronavirus,29802,2017,N
MT040335.1,Manis javanica,Pangolin coronavirus,Betacoronavirus,29806,2017,N
MT040334.1,Manis javanica,Pangolin coronavirus,Betacoronavirus,29801,2017,N
MT040333.1,Manis javanica,Pangolin coronavirus,Betacoronavirus,29805,2017,N
MT121216.1,Manis javanica,Pangolin coronavirus,Betacoronavirus,29521,29/03/2019,N
LC364344.1,Columbidae,Pigeon coronavirus UAE-HKU29,Deltacoronavirus,26155,28/03/2017,N
NC_009020.1,Chiroptera,Pipistrellus bat coronavirus HKU5,Betacoronavirus,30482,,Y
KF650372.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,,N
KF650373.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,06/06/2013,N
KF650374.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,,N
KF650375.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,,N
KF804028.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28039,16/05/2013,N
KF468752.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,19/06/2013,N
KF468753.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2013,N
MT166307.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28026,2018-05,N
KT021230.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28028,05/02/2014,N
KF650371.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,,N
KT021232.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28028,08/08/2014,N
KT021233.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28028,11/11/2014,N
KF267450.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,29/05/2013,N
KF272920.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,10/05/2013,N
KC189944.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27953,,N
KC140102.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,20/08/2012,N
KF468754.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2013,N
KT021231.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28028,10/05/2014,N
KF452323.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28039,07/05/2013,N
MK138353.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28030,2016,N
LC063844.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27895,2014-03,N
LC063845.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27895,2014-03,N
LC063846.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27895,2013-12,N
LC063847.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27895,2014-03,N
KT021227.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,02/08/2013,N
KJ196348.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,05/02/2013,N
KT021228.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28034,05/10/2013,N
KJ408801.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,23/01/2014,N
KT021229.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28028,08/11/2013,N
LC063843.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-05,N
KJ020932.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2013-03,N
KJ399978.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,15/01/2014,N
MT198679.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28031,02/02/2018,N
KF452322.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28039,29/04/2013,N
KC210145.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28039,15/03/2012,N
KF650370.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,16/05/2013,N
KR818832.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28047,2013-02,N
KC196276.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2011-05,N
KC210146.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27954,2008,N
JN825712.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,25/04/2011,N
JQ282909.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,03/05/2011,N
KJ623926.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2014,N
MN816181.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,2018-03,N
MW165327.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27908,21/01/2014,N
JN547228.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28026,1986,N
MT683617.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28066,2016-09,N
KP890336.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27996,2014-12,N
MT338518.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28020,,N
KR809885.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,18/03/2015,N
KR873431.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2014-11,N
KR873434.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2014-11,N
KR873435.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2014-11,N
KR078299.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28007,2013-06,N
KR078300.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28028,2013-12,N
KM089829.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28047,10/11/2012,N
MT338517.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,,N
MW165328.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27238,21/01/2014,N
MW165329.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27754,01/07/2013,N
KR095279.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27997,27/01/2015,N
KC210147.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28037,2012,N
MN844888.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,2019-03,N
JX560761.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27953,2012-02,N
MK796238.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27961,2018-03,N
JX647847.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28047,2011-12,N
JX524137.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,10/04/2011,N
JX489155.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28047,2011-02,N
MT547180.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28044,2017-01,N
JX261936.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28047,10/02/2011,N
MT547179.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27662,2017-01,N
MT490316.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,2018,N
MT490315.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28034,2018,N
JX188454.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28044,2011-05,N
JX112709.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,11/02/2012,N
